city,cities
Hoerstel,Gerstel'
Horb am Neckar,Gorb-am-Nekkar
Homburg,Homburg
Holzwickede,Gol'cvikkede
Holzminden,Holtisminni
Holzkirchen,Gol'ckirkhen
Hohenstein-Ernstthal,Goenshtajn-Ernsttal'
Hohen Neuendorf,Goen-Noendorf
Hofheim am Taunus,Gofgajm
Hofgeismar,Chofnkaismar
Hof,Curia Variscorum
Hockenheim,Gokkengajm
Hochheim am Main,Gokhgajm-am-Majn
Hochfeld,Hochfeld
Hille,Hille
Hildesheim,Chilnteschaim
Hilden,Gil'den
Hilchenbach,Gil'khenbakh
Hiddenhausen,Giddengauzen
Heusweiler,Gojsvajler
Heusenstamm,Gojzenshtamm
Hettstedt,Heiczstete [a. 1046]
Hessisch Oldendorf,Hessisch Oldendorf
Herzogenrath,Chertsonkenrat
Herzogenaurach,Gercogenaurakh
Herten,Gerten
Herrenberg,Gerrenberg
Herne,Gerne
Hermsdorf,Berlin-Hermsdorf
Herford,Herford
Herdecke,Herdecke
Herborn,Herborn
Heppenheim an der Bergstrasse,Heppenheim
Hennigsdorf,Henigsdorf
Hennef,Gennef
Hemmingen,
Hemer,Gemer
Helmstedt,Helmestee
Hellersdorf,Berlin-Hellersdorf
Heinsberg,Heinsberg
Heilbad Heiligenstadt,Hagiopolis in Eichsfeldia
Heiligensee,Berlin-Heiligensee
Heiligenhaus,Gajligengaus
Heilbronn,Chailmpron
Heidenheim an der Brenz,Chainten'chaim
Heidenau,Khajdenau
Heidelberg,Chaidelvergi
Heide,HEI
Hechingen,Gekhingen
Hattingen,Chatin'nken
Hattersheim,Hattersheim
Hassloch,Hafsloch
Harsewinkel,Garzevinkel'
Haren,Haren
Harburg,Arrondissement de Harburg
Hannover,Annobero
Hanau am Main,Chanaou
Hamminkeln,Gamminkel'n
Hamm,Gamm
Hameln,Gamel'n
Wandsbek,Hamburg-Wandsbek
Marienthal,Hamburg-Marienthal
Hamburg-Mitte,Arrondissement de Hambourg-Mitte
Eimsbuettel,Ajmsbitel
Altona,Al'tona
Hamburg,Amborg
Halver,Gal'fer
Haltern am See,Halahtron
Halstenbek,Khal'stenbek
Halle,Galle
Halle (Saale),Galle
Haldensleben I,Hahaldesleve
Halberstadt,Gal'bershtat
Hakenfelde,Berlin-Hakenfelde
Haiger,Gajger
Hagen,Hagen
Haar,Khar
Haan,Gan
Guetersloh,GUT
Guestrow,Gistrov
Gunzenhausen,Guncengauzen
Guenzburg,Gincburg
Gummersbach,Gumersbakh
Guben,Guben
Gross-Umstadt,Gros-Umshtadt
Grossostheim,Grosostgajm
Gross-Gerau,Gros-Gerau
Grossenhain,Grosengajn
Gronau,Gronau
Grobenzell,Groebenzell
Grimma,Grima
Griesheim,Griesheim
Grevenbroich,Grefenbrojkh
Greven,Grefen
Greiz,Grajc
Greifswald,Grajfsval'd
Grefrath,Grefrat
Goettingen,Choettingen
Gotha,Gota
Goslar,Goslaer
Goerlitz,G'orlic
Goeppingen,G'opingen
Goch,Goch
Glinde,Glinde
Glauchau,Glaucha
Gladbeck,Gladbeck
Ginsheim-Gustavsburg,Ginskhajm-Gustavsburg
Gilching,Gil'khing
Gifhorn,Gifhorn
Giessen,Gieseni
Giengen an der Brenz,Giengen
Gevelsberg,Gefel'sberg
Gesundbrunnen,Berlin-Gesundbrunnen
Geseke,Gaiseke
Gescher,Gascheri
Gersthofen,Gerstgofen
Germersheim,Gemersheim
Germering,Geamaring
Gerlingen,Gerlingen
Geretsried,Geretsrid
Gera,Gera
Georgsmarienhuette,Georgsmarienhuette
Gelsenkirchen,Gel'zenkirkhen
Gelnhausen,Gel'ngauzen
Geldern,Gel'dehrn
Geislingen an der Steige,Gajslingen an der Shtajge
Geilenkirchen,GKE
Geesthacht,Geesthacht
Gauting,
Garmisch-Partenkirchen,Garmasch-Partakurch
Garching bei Munchen,Arching
Garbsen,Altgarbsen
Ganderkesee,Ganderkesee
Gaggenau,Gagenau
Fuessen,Abdiacum
Furth,Firt
Fuerstenwalde,Firstenvalde
Fuerstenfeldbruck,Bruck
Fulda,Foulnta
Froendenberg,Fr'ondenberg na Rur
Frohnau,Berlin-Frohnau
Friesoythe,Ait
Friedrichshain Bezirk,Berlin-Friedrichshain
Friedrichshagen,Berlin-Friedrichshagen
Friedrichshafen,FDH
Friedrichsfelde,Berlin-Friedrichsfelde
Friedrichsdorf,Fridrikhsdorf
Friedenau,Berlin-Friedenau
Friedberg,Fridberg
Friedberg,Fribe
Freudenstadt,Freudenstadt
Freudenberg,Freudenberg
Freital,Frajtal
Freising,Fraizin'nk
Freilassing,Frajlasing
Freiburg,Frajburg
Freiberg am Neckar,Frajberg am Nekar
Freiberg,Frajberg
Frechen,Frechem
Frankfurt am Main,FRA
Frankfurt (Oder),Francfort
Frankenthal,Frankental
Frankenberg,Frankenberg
Frankenberg,Frankenberg
Forst,Barsac
Forchheim,Forchheim
Floersheim,Floersheim am Main
Flensburg,FLF
Finsterwalde,Finsterval'de
Finnentrop,Finentrop
Stuttgart Feuerbach,Feuerbach
Fellbach,Felbakh
Falkensee,Fal'kenze
Eutin,Eutin
Euskirchen,Euskirchen
Ettlingen,Ediningum
Esslingen,Ehslingen-am-Nekkar
Essen,Asnithi
Espelkamp,Ehspel'kamp
Eschweiler,Aischwiele
Eschwege,Ehshvege
Eschborn,Ehshborn
Erwitte,Arwitti
Erlangen,Ehrlangen
Erkrath,Ehrkrat
Erkelenz,Ehrkelenc
Erfurt,ERF
Erftstadt,Ehrftshtadt
Erding,Aerding
Eppingen,Ehppingen
Eppelborn,Ehppel'born
Ennigerloh,Aningeroloh
Ennepetal,Ehnnepetal'
Enger,Angeri
Engelskirchen,Ehngel'skirkhen
Emsdetten,Ehmsdetten
Emmerich,Ehmmerikh
Emmendingen,
Emden,Amuthon
Eltville,Eltville
Elsdorf,
Elmshorn,Ehl'mskhorn
Ellwangen,Ehl'vangen
Eitorf,Aitorf
Eislingen,Ajslingen
Eisenhuettenstadt,Ajzenkhitenshtat
Eisenach,Aizenach
Einbeck,Aimbeck
Eilenburg,Ajlenburg
Ehingen,Egingen
Eggenstein-Leopoldshafen,Egenshtajn-Leopoldskhafen
Edewecht,Edevekht
Eckernfoerde,Eckernfoeoer
Eberswalde,Ebersval'de
Ebersbach an der Fils,Ebersbach
Eberbach,Eberbach
Duesseldorf,DUS
Dueren,Diren
Duelmen,Dilmen
Duisburg,DUI
Duderstadt,Dudershtadt
Dresden,DRS
Drensteinfurt,Drenshtajnfurt
Dreieich,Drajajkh
Dortmund,DTM
Dorsten,Doessen
Dormagen,Dormagen
Donauwoerth,Doanaweat
Donaueschingen,Donauehshingen
Doebeln,Debel'n
Ditzingen,Dicingen
Dinslaken,Dinslaken
Dingolfing,Dingelfing
Dillingen an der Donau,Danubi Dilingen
Dillingen,Dillengen
Dillenburg,Dilenburg
Dietzenbach,Dicenbakh
Diepholz,Deefholt
Dieburg,Diburg
Deutz,Divitia
Detmold,Detmol'd
Dessau,Desau
Delmenhorst,Dehl'menkhorst
Delitzsch,Delic
Delbrueck,Dehl'bruk
Deggendorf,Deckendorf
Datteln,Dateln
Darmstadt,Darmshhat
Damme,Dame
Dahlem,Berlin-Dahlem
Dachau,Dachanum
Cuxhaven,Cux
Crimmitschau,Crimmitschau
Crailsheim,Crailsheimum
Cottbus,CBU
Coswig,Coswig
Coesfeld,Coesfeld
Coburg,Cobourg
Cloppenburg,Cloppenborg
Clausthal-Zellerfeld,Bergstadt-Clausthal-Zellerfeld
Chemnitz,Chemnicas
Charlottenburg Bezirk,Berlin-Charlottenburg
Cham,Cham
Celle,Cehle
Castrop-Rauxel,Castrop-Rauxel
Calw,Calewa
Buxtehude,Bukstekhude
Butzbach,Bucbakh
Buerstadt,Birshtat
Burscheid,Burscheid
Burghausen,Burghausen
Burgdorf,Borchdoerp
Burg bei Magdeburg,Burg
Bueren,Biren
Buende,Binde
Buhl,Bil
Buedingen,Bidingen
Buckow,Berlin-Buckow
Buckeburg,Bikeburg
Buchholz in der Nordheide,Buchholz
Buchholz,Berlin-Buchholz
Buchen in Odenwald,Buchen
Bruehl,Bril
Bruggen,Brueggen
Bruckmuhl,Bruckmuehl
Bruchsal,Bruchsal
Bruchkoebel,Bruchkobel
Britz,Berlin-Britz
Brilon,Brailen
Bretten,Breten
Bremervoerde,Bremerf'orde
Bremerhaven,BRV
Bremen,BRE
Braunschweig,BWE
Brandenburg an der Havel,Brandebourg-sur-la-Havel
Bramsche,Bramsche
Brakel,Brakal
Brake (Unterweser),Brake
Brackenheim,Brackenheim
Bottrop,Botrop
Bornheim,Borngajm
Borna,Borna
Borken,Borken
Boppard,Bopard
Bonn,BNJ
Bonen,Benen
Bogenhausen,Bogenhausen
Bochum,Baukem
Bocholt,Bocholt
Boeblingen,B'oblingen
Bobingen,Bobingen
Blomberg,Blomberg
Blieskastel,Bliskastel
Blankenburg,Blankenburg
Bitterfeld-Wolfen,Biterfeld
Bingen am Rhein,Bingen
Bietigheim-Bissingen,Bietigheim-Bissingen
Biesdorf,Berlin-Biesdorf
Bielefeld,BFE
Biberach an der Riss,Biberach
Bexbach,Beksbakh
Beverungen,Beferungen
Bernburg,Bernbourg
Bernau bei Berlin,Bernau
Berlin,BER
Bergneustadt,Bergneustadt
Bergkamen,Bergkamen
Bergisch Gladbach,Bergisch Gladbach
Bergheim,Bergem
Bensheim,Bensgajm
Bendorf,Bendorf
Bedburg,Bebber
Beckum,Beckum
Beckingen,Bekingen
Bayreuth,BYU
Bautzen,Baucen
Baunatal,Baunatal
Baumschulenweg,Baumschulenweg
Bassum,Bassen
Bamberg,Bambarg
Balingen,Balingen
Baiersbronn,Baiersbronn
Baesweiler,Baaswieler
Bad Zwischenahn,Bad Cvishenan
Bad Wildungen,Bad Vildungen
Bad Waldsee,Bad Valdze
Bad Vilbel,Bad Vilbel
Bad Toelz,Bad T'olc
Bad Soden am Taunus,Bad Soden
Bad Segeberg,Bad Segeberg
Bad Schwartau,Bad Schwartau
Bad Salzungen,Bad Salzungen
Bad Salzuflen,Bad Zalcuflen
Bad Sackingen,Bad Saeckingen
Bad Reichenhall,Bad Rajkhenkhal
Bad Rappenau,Bad Rapenau
Bad Pyrmont,Bad Pirmont
Bad Oldesloe,Bad Oldeslo
Bad Oeynhausen,Bad Oajnkhauzen
Bad Neustadt an der Saale,Bad Neustadt
Bad Neuenahr-Ahrweiler,Bad Neuenahr-Ahrweiler
Bad Nauheim,Bad Naukhajm
Bad Muenstereifel,Bad Minsterajfel
Bad Muender am Deister,Bad Minder am Dajster
Bad Mergentheim,Bad Mergentheim
Bad Lippspringe,Bad Lippspringe
Bad Langensalza,Bad Langensalza
Bad Kreuznach,Bad Kreuznach
Bad Kissingen,Bad Kisingen
Bad Honnef,Bad Honnef
Bad Homburg vor der Hoehe,Bad Homburg
Bad Hersfeld,Bad Hersfeld
Bad Harzburg,Bad Harzborch
Bad Essen,Bad Esen
Baden-Baden,Aquae Aureliae
Bad Duerkheim,Bad Dirkkhajm
Bad Driburg,Bad Driburg
Bad Berleburg,Bad Berleburg
Bad Bentheim,Bad Bentheim
Bad Aibling,Aibling
Backnang,Backnang
Babenhausen,Babenhausen
Aurich,Auerk
Augsburg,AGY
Auerbach,Auerbach
Aue,Aue
Attendorn,Atendorn
Aschersleben,Ascaria
Ascheberg,Ascheberg
Aschaffenburg,A-Burg
Bad Arolsen,Arothia
Arnstadt,Arnestati [a. 704]
Arnsberg,Arensperg
Apolda,Apol'da
Ansbach,Ansbach
Annaberg-Buchholz,Anaberg-Bukholc
Angermuende,Angerminde
Andernach,Andernach
Amberg,Amberg
Alzey,Alzey
Alzenau in Unterfranken,Alzenau
Altglienicke,Al'tglinike
Altenburg,AOC
Altena,Al'tehna
Altdorf,Altdorf
Alsfeld,Al'sfel'd
Alsdorf,Al'sdorf
Alfter,Al'fter
Alfeld,ALF
Albstadt,Al'bshtadt
Aichach,Aicha
Ahrensburg,Ahrensburg
Ahlen,Ahlen
Ahaus,Aahusium
Adlershof,Adlerskhof
Achim,Achem
Achern,Achara
Aalen,Aalen
Vellmar,Fel'mar
Aachen,AAH
Moerfelden-Walldorf,Merfel'den-Vall'dorf
Riedstadt,Ridshtadt
Lauda-Konigshofen,Lauda-Kenigsgofen
Filderstadt,Fil'dershtadt
Ostfildern,
Rodgau,Rodgau
Gropiusstadt,Berlin-Gropiusstadt
Seeheim-Jugenheim,Zeegajm-Jugengajm
Charlottenburg-Nord,
Mitte,Berlin-Mitte
Rheinstetten,Rajnashteten
Altstadt Sud,
Altstadt Nord,
Neuehrenfeld,
Bilderstoeckchen,Bilderstoeckchen
Stuttgart-Ost,S-Ost
Bochum-Hordel,
St. Pauli,Sankt-Pauli
Gallus,Frankfurt-Gallus
Eidelstedt,Eidelstedt
Eisleben Lutherstadt,Ajsleben
Halle Neustadt,Galle-Nojshtadt
Bergedorf,Arrondissement de Bergedorf
Spandau,Berlin-Spandau
Berlin Treptow,Treptow
Niederrad,Frankfurt Niederrad
Haselbachtal,
Wittenberg,Lutherstadt Wittenberg
Barmbek-Nord,
Farmsen-Berne,
Falkenhagener Feld,Berlin-Falkenhagener Feld
Neu-Hohenschoenhausen,Berlin-Neu-Hohenschoenhausen
Alt-Hohenschoenhausen,Berlin-Alt-Hohenschoenhausen
Fennpfuhl,Berlin-Fennpfuhl
Hamburg-Nord,Arrondissement de Hambourg-Nord
Burg Unter-Falkenstein,Neu-Falkenstein
Neustadt/Nord,
Neustadt/Sued,
Kalk,
Muelheim,Muelheim am Rhein
Gartenstadt,
Duesseldorf-Pempelfort,Pempelfort
Burglesum,
Sachsenheim,
Kronberg Tal,
Remseck am Neckar,
Tadjourah,TDJ
Obock,Abok
Djibouti,Byen Djibouti
'Ali Sabieh,AII
Viborg,Vibor
Vejle,Vaile
Vanlose,Vanlose
Taastrup,Taastrup
Svendborg,QXV
Stenlose,
Sonderborg,Munisipalitas Sonderborg
Slagelse,Slagel'se
Skive,SQW
Silkeborg,Sil'keborg
Roskilde,Hroarskelda
Rodovre,Comuna Rodovre
Ringsted,Ringsted
Randers,Randers
Odense,ODE
Nykobing Falster,Nikebing Falster
Nyborg,Niborg
Naestved,Naestved
Norresundby,Norresundby
Lillerod,
Korsor,Korser
Koge,Kege
Copenhagen,CPH
Kolding,Kol'ding
Kalundborg,Kallundborg
Ishoj,Ishoj
Hvidovre,Hvidovre
Horsens,Horsens
Horsholm,Hiorsholmas
Holstebro,Holstebro
Holbaek,Holbaek
Hjorring,Hjoerring
Hillerod,Hillerod
Herning,Gerning
Helsingor,Elseneur
Haderslev,Hadersleben
Greve,
Glostrup,Comuna Glostrup
Frederikshavn,Fladstrand
Frederiksberg,Frederiksberg
Fredericia,Fredericia
Farum,Farum
Esbjerg,EBJ
Charlottenlund,Charlottenlund
Birkerod,Birkerod
Ballerup,Balerup
Arhus,ARR
Aalborg,AAL
Albertslund,Al'bertslunn
Aabenraa,Aabenra
Roseau,Charlotte Town
Villa Francisca,Villa Francisca
Villa Consuelo,Villa Consuelo
Villa Bisono,Bisono
Villa Altagracia,Vil'ja-Al'tagrasija
Tamboril,Pena
Santo Domingo,Ciudad Trujillo
Santiago de los Caballeros,STI
Santa Cruz de El Seibo,El Seibo
Santa Cruz de Barahona,BRX
San Pedro de Macoris,San Pedro Macoris
San Juan de la Maguana,SJM
San Jose de Ocoa,San Jose de Ocoa
San Francisco de Macoris,San Francisco de Macoris
San Fernando de Monte Cristi,Monte Cristi
Puerto Plata,POP
Salvaleon de Higueey,Higueey
Salcedo,Salcedo
Sabaneta,Sabaneta
Sabana Grande de Boya,Sabana Grande
Rio Grande,Rio Grande
Quisqueya,Ingenio Quisquella
Punta Cana,PUJ
Neiba,Neiba
Nagua,Ciudad de Nagua
Monte Plata,Monte Plata
Monte Llano,
Moca,Moca
Mao,Mao
Las Matas de Farfan,Las Matas
La Romana,LRM
Jarabacoa,Jarabacoa
Hato Mayor del Rey,Hato Mayor
Esperanza,Esperanza
Dajabon,Dajabon
Cotui,Cotui
Constanza,COZ
Concepcion de La Vega,Concepcion de La Vega
Ciudad Nueva,Ciudad Nueva
Bonao,Banao
Boca Chica,Boca Chica
San Cristobal,Benemerita de San Cristobal
Bella Vista,Bella Vista
Bayaguana,Bayaguana
Bani,Ban
Bajos de Haina,Bajos de Haina
Azua,Asua-de-Kompostela
Santo Domingo Oeste,
Santo Domingo Este,Santo Domingo Este
Boumerdas,Bou-Merdes
Zeribet el Oued,Zeribet el Oued
Zeralda,Zeralda
Zemoura,Zemmora
Touggourt,TGR
Tolga,Tolga
Tlemcen,Pomaria
Tizi Rached,Tizi Rached
Tizi Ouzou,QZI
Tizi-n-Tleta,Tizi-n-Tleta
Tizi Gheniff,Tizi Ghenif
Tissemsilt,Tissemsil
Tirmitine,Tirmitine
Tipasa,Tipasa
Tindouf,Provinsi Tindouf
Timizart,Timizart
Timimoun,TMX
el hed,El Maten
Tiaret,TID
Theniet el Had,Teniet el Haad
Thenia,Menerville
Telerghma,Telerghma
Tebessa,TEE
Tebesbest,Tebesbest
Tazoult-Lambese,Lambese
Tamanrasset,Fort Laperine
Tamalous,Tamalous
Taibet,Taibet
Tadmait,Camp du Marechal
Sour el Ghozlane,Aumale
Souma,Souma
Lardjem,
Souk Ahras,QSK
Sougueur,Nadhora
Skikda,Philippeville
Sig,QIL
Sidi Okba,Sidi Okba
Sidi Moussa,Sidi Moussa
Sidi Merouane,Sidi Merouan
Sidi Khaled,Sidi Khaled
Sidi ech Chahmi,Sidi Chami
Sidi Bel Abbes,BFW
Sidi Amrane,Sidi Amrane
Sidi Akkacha,Montenotte
Sidi Aissa,Sid Aissa
Sidi Abdelli,Les Abdellys
Sfizef,Mercier-Lacombe
Setif,QSF
Sedrata,Sedrata
Seddouk,Seddouk
Sebdou,Sebdou
Saoula,Saoula
Salah Bey,Dzeira
Saida,Sa'ida
Rouissat,Rouissat
Rouiba,Rouiba
Rouached,Rouached
Robbah,Robbah
Remchi,Montagnac
Relizane,Ighil Izane
Reguiba,Reguiba
Reghaia,La Reghaia
Reggane,Reggan
Ras el Oued,Ras el Oued
Ras el Aioun,Ras el Aioun
Oum el Bouaghi,Canrobert
Ouled Mimoun,Altava
Oued Sly,Malakoff
Oued Rhiou,Inkermann
Oued Fodda,Oued Fodda
Oued el Alleug,Oued Alleug
Oued el Abtal,Oued el Abtal
Ouargla,OGX
Oran,Aran
Nedroma,Nedroma
Naciria,Azib Zamoun
M'Sila,M'Sila
Mouzaia,Mouzaia
Mostaganem,MQV
Mila,Mila
Metlili Chaamba,Metlili
Messaad,Messaad
Meskiana,La Meskiana
Mers el Kebir,Mers el Kabir
Merouana,Corneille
Melouza,Melouda
Mekla,Maqla'
Mehdia daira de meghila,Burdeau
Megarine,Megarine
Meftah,Meftah
Medea,Al-Madijja
Mazouna,Mazouna
Mascara,MUW
Mansourah,Mansoura
Mansoura,Mansoura
Makouda,Macouda
L'Arbaa Nait Irathen,Fort National
Larbaa,Arba
Lakhdaria,Lakhdaria
Laghouat,Al-Aghwat
Ksar el Boukhari,Boghari
Ksar Chellala,Chellala
Kolea,Kolea
Khenchela,Khenchela
Khemis Miliana,Affreville
Khemis el Khechna,Fondouk
Karkira,El Achra
Jijel,Djedjelli
Djidiouia,Djidioua
Ighram,Ighram
Hennaya,Eugene Etienne
Heliopolis,Heliopolis
Hassi Messaoud,HME
Hammamet,Gidjel
Hammam Bou Hadjar,Hammam Bou Hadjar
Hamma Bouziane,Hamma
Hadjout,Hadjout
Guelma,Calama
Ghardaia,GHA
Frenda,Frenda
Freha,Freda
Feraoun,Feraoun
Es Senia,As-Saniyya
El Tarf,El Tarf
El Oued,Al-Wadi
El Malah,El Malah
El Kseur,El Kseur
El Khroub,El Khroub
El Kala,Ehl'-Kaly
El Idrissia,El Idrissia
El Hadjira,El Hadjira
El Hadjar,Duzerville
El Eulma,El Eulma
El Bayadh,EBH
El Attaf,Ehl'-Attafom
Chlef,CFK
El Aouinet,Aouinet-ed-Dieb
El Amria,El Amiria
El Affroun,El Affroun
El Achir,El Achir
El Abiodh Sidi Cheikh,El Abiod Sidi Cheikh
El Abadia,Al Abadia
Ech Chettia,Ech Chetia
Drean,Drean
Draa el Mizan,Dra el Mizan
Draa Ben Khedda,Dra Ben Khedda
Douera,Ddwira
Djelfa,Djelfa
Djamaa,Djama
Didouche Mourad,Bizot
Dellys,Delis
Debila,Debila
Dar el Beida,Dar El Baida
Dar Chioukh,Dar Chioukh
Constantine,CZL
Chorfa,Cheurfa
Chiffa,Chiffa
Chetouane,Chetouane
Cheria,Cheria
Cheraga,Cheraga
Chemini,Azerou Ait Chemini
Chelghoum el Aid,Chateaudun
Chebli,Chebli
Charef,Charef
Chabet el Ameur,Chabet -el -Ameuro
Brezina,Brexina
Bou Tlelis,Bou Tlelis
Boumahra Ahmed,Boumahra Ahmed
Boukadir,Bou Kadir
Bou Ismail,Bou Ismael
Bouira,Bouira
Bouinan,Bouinan
Bou Hanifia el Hamamat,Bou Hanifia
Bougara,Bougara
Bougaa,Bougaa
Boufarik,Boufarik
Boudouaou,Alma
Boudjima,Boudjima
Bou Arfa,Bou Arfa
Bordj Zemoura,Bordj Zemoura
Bordj Ghdir,Bordj Ghdir
Bordj el Kiffan,Bordj El Kifan
Bordj Bou Arreridj,Bordj Bou Arerridj
Boghni,Boghari
Blida,Al-Bulajda
Biskra,BSK
Birkhadem,Birkadem
Birine,Birin
Bir el Djir,Arcole
Bir el Ater,Bir el Ater
Besbes,Besbes
Berrouaghia,Berrouaghia
Berriane,Berrian
Berrahal,Ain Mokra
Bensekrane,Ben Sokrane
Ben Mehidi,Ben Mehidi
Beni Saf,Bani Saf
Beni Mester,Beni Mester
Beni Mered,Beni Mered
Beni Douala,Beni Douala
Beni Amrane,Ait Belaid
Bejaia,BJA
Bechar,Basyar
Batna,BLJ
Barika,Barika
Barbacha,Barbacha
Baraki,Baraki
Bab Ezzouar,Bab Ezzouar
Azzaba,Azzaba
Azazga,Agagza
Arris,Arris
Arhribs,Aghribs
Arbatache,Arbatach
Aoulef,Aoulef
Annaba,AAE
Ammi Moussa,Ammi Moussa
Amizour,Amizour
Algiers,ALG
Akbou,Akbou
Ain Touta,Ain Touta
Ain Temouchent,Aebura
Ain Taya,Ain Taya
Ain Smara,Ain Smara
Ain Sefra,Ain Sefra
Ain Oussera,Ain Oussera
'Ain Merane,'Ain Merane
Ain Kercha,Ain Kercha
Ain Fakroun,Ain Fakroun
'Ain el Turk,'Ain el Turk
'Ain el Melh,'Ain el Melh
'Ain el Hammam,'Ain el Hammam
`Ain el Hadjel,Ain el Hadjel
Ain el Bya,'Ain el Bia
'Ain el Berd,'Ain el Berd
'Ain el Bell,'Ain el Bell
'Ain Deheb,'Ain Deheb
Ain Defla,Ain Defla
Ain Bessem,Ain Bessem
'Ain Benian,'Ain Benian
Ain Beida,Ain Beida
Ain Arnat,Ain Arnat
'Ain Abid,'Ain Abid
Aflou,Aflou
Adrar,AZR
Abou el Hassan,Abou el Hassan
BABOR - VILLE,Babur
Zamora,Zamora
Yaguachi Nuevo,Yaguachi
Vinces,Vinces
Ventanas,Ventanas
Velasco Ibarra,El Empalme
Tulcan,TUA
Tena,Napo
Sucre,Sucre
Santo Domingo de los Colorados,Santo Domingo
Santa Rosa,ETR
Santa Elena,Santa Elena
San Lorenzo de Esmeraldas,Puerto San Lorenzo
San Gabriel,Montufar
Samborondon,Samborondon
Salinas,SNC
Rosa Zarate,Quininde
Riobamba,Riobamba
Quito,Kita
Quevedo,Kevedas
Puyo,El Puyo
Pujili,Pajili
Puerto Francisco de Orellana,Coca
Portoviejo,PVO
Playas,General Villamil
Pinas,Pinas
Pelileo,Pelileo
Pedro Carbo,Pedro Carbo
Pasaje,Pasaje
Otavalo,Otavalas
Naranjito,Naranjito
Naranjal,Naranjal
Montecristi,Montecristi
Montalvo,Montalvo
Milagro,Milagras
Manta,MEC
Machala,MCH
Machachi,Ciudad de Machachi
Macas,Macas
Loja,LOH
La Troncal,La Troncal
Latacunga,LTX
La Mana,La Mana
La Libertad,La Libertad
Nueva Loja,Lago Agrio
Jipijapa,JIP
Ibarra,Ibarra
Huaquillas,Huaquillas
Guayaquil,GYE
Guaranda,Guaranda
Gualaceo,Gualaceo
Esmeraldas,ESM
El Triunfo,El Triunfo
Eloy Alfaro,Alfaro
Cuenca,CUE
Chone,Chone
Cayambe,Cayambe
Catamayo,Catamayo
Cariamanga,Calvas
Calceta,Bolivar
Boca Suno,Boca Suno
Balzar,Balzar
Bahia de Caraquez,BHA
Babahoyo,Babahojas
Azogues,Asogesas
Atuntaqui,Atuntaqui
Ambato,ATF
Viljandi,Felin
Tartu,Derpt
Tallinn,Castrum Danorum
Sillamaee,Commune de Sillamaee
Rakvere,Rakvere
Paernu,EPU
Narva,Naarva
Maardu,Maardu
Kohtla-Jaerve,Jarve
Zefta,Zifta
Tukh,Toukh
Tanta,Tanda
Tamiyah,Tamiya
Talkha,Talha
Tala,Tala
Tahta,Tahta
Sumusta as Sultani,Sumusta as Sultani
Sohag,HMB
Sidi Salim,Sidi Salim
Shirbin,Sharbin
Shibin al Qanatir,Shabin al Qanatir
Shibin al Kawm,Shabin al-Kum
Samannud,Samannud
Samalut,Samalut
Rosetta,Ar-Rasid
Ras Gharib,Ra's Gharib
Quwaysina,Kuesnah
Qutur,Kotur
Qus,Apollinopolis Parva
Qina,Caene
Qalyub,Kal'jub
Naja' Hammadi,Gebel el Hagif
Minyat an Nasr,MINYAT AN-NASR
Munuf,MINUF
Matay,Matai
Mashtul as Suq,Mashtul as Suq
Mersa Matruh,MUH
Manfalut,MANFALUT
Mallawi,Mallauri
Madinat Sittah Uktubar,6 October City
Kawm Umbu,Kawm Ombo
Kawm Hamadah,Kawm Hamadah
Kafr Saqr,Kafr Saqr
Kafr az Zayyat,Kafr az Zayat
Kafr ash Shaykh,Kafr al-Sheikh
Kafr ad Dawwar,Kafr ad Dawwar
Juhaynah,Giheina
Jirja,Girga
`Izbat al Burj,Ezbet el-Burg
Itsa,Itsa
Isna,Asna
Idku,Edkou
Idfu,Apollinopolis Magna
Ibshaway,Ibshawai
Halwan,Halwan
Hihya,Hehia
Hawsh `Isa,Haush `Isa
Fuwwah,Fawwah
Farshut,Farshut
Faraskur,Faraskur
Faqus,Fakous
Damietta,Damiata
Diyarb Najm,Diarb Negm
Disuq,Dasuq
Dishna,Dashna
Dikirnis,DIKIRNIS
Dayrut,Dairut
Dayr Mawas,Dayr Mawas
Damanhur,Bandar Damanhur
Bush,
Port Said,Bor Sa`id
Safaga,Bur Safaga
Bilqas,Balqas
Bilbays,Belbeis
Basyun,Basyun
Bani Suwayf,Bani Suwayf
Bani Mazar,Bani Mazar
Banha,Athribis
Zagazig,As Zaqaziq
Awsim,Ausim
At Tall al Kabir,At Tall al Kabir
Asyut,ATZ
Aswan,ASW
Suez,Al Qulzum
As Saff,As Saff
Ash Shuhada',Ash Shudada'
Ashmun,ASHMUN
Al Wasitah,Al Wasitah
Luxor,Al Uqsur
Al Qusiyah,Al Qusiyah
Al Qusayr,Al Qusayr
Al Qurayn,Al Qurayn
Al Qanayat,Al Qanayat
Al Qanatir al Khayriyah,Al Qanatir al Khayriyah
Cairo,Al Qahirah
Al Minya,Al Minya
Al Matariyah,Al Matariyah
Al Manzalah,Al Manzalah
Al Mansurah,Al Mansurah
Al Minshah,Al Manshah
Al Mahallah al Kubra,Al Mahallah al Kubra
Al Kharjah,Al Kharijah
Al Khankah,Al Khankah
Giza,Al Jizah
Al Jammaliyah,Al Jamaliyah
Ismailia,Al Isma`iliya
Alexandria,ALY
Al Ibrahimiyah,Al Ibrahimiyah
Al Hawamidiyah,Al Hawamidiyah
Al Hamul,Al Hamul
Hurghada,Al Ghardaqah
